down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,go_for_it
4.0,12,62.0,3445.0,0.0,1,0
4.0,2,24.0,3082.0,0.0,1,0
4.0,16,74.0,2797.0,-7.0,1,0
4.0,5,56.0,2621.0,7.0,2,0
4.0,10,63.0,2028.0,0.0,2,0
4.0,2,2.0,1805.0,-6.0,2,0
4.0,3,52.0,1683.0,3.0,3,0
4.0,2,36.0,1260.0,-3.0,3,1
4.0,4,22.0,1057.0,3.0,3,0
4.0,5,11.0,707.0,-6.0,4,0
4.0,4,65.0,3271.0,0.0,1,0
4.0,5,71.0,2030.0,0.0,2,0
4.0,10,87.0,1954.0,0.0,2,0
4.0,5,19.0,1843.0,0.0,2,0
4.0,11,64.0,1462.0,0.0,3,0
4.0,18,90.0,1398.0,0.0,3,0
4.0,5,43.0,1301.0,0.0,3,0
4.0,23,80.0,1158.0,0.0,3,0
4.0,6,69.0,1096.0,0.0,3,0
4.0,13,70.0,1011.0,0.0,3,0
4.0,6,17.0,822.0,0.0,4,0
4.0,14,57.0,161.0,-4.0,4,1
4.0,7,20.0,3293.0,0.0,1,0
4.0,7,48.0,3160.0,-3.0,1,0
4.0,9,94.0,3102.0,3.0,1,0
4.0,16,43.0,2806.0,3.0,1,0
4.0,10,32.0,1914.0,-4.0,2,0
4.0,1,15.0,1436.0,8.0,3,1
4.0,1,21.0,973.0,8.0,3,1
4.0,9,80.0,346.0,8.0,4,0
4.0,10,17.0,164.0,-8.0,4,1
4.0,1,73.0,41.0,8.0,4,0
4.0,1,21.0,3126.0,0.0,1,1
4.0,5,12.0,3009.0,0.0,1,0
4.0,5,64.0,2891.0,-3.0,1,0
4.0,2,48.0,2578.0,-3.0,2,0
4.0,1,77.0,2487.0,3.0,2,0
4.0,14,66.0,2408.0,-3.0,2,0
4.0,21,83.0,1686.0,3.0,3,0
4.0,5,8.0,1422.0,-3.0,3,0
4.0,2,58.0,1207.0,-7.0,3,0
4.0,19,80.0,1092.0,7.0,3,0
4.0,1,42.0,949.0,-7.0,3,0
4.0,1,28.0,601.0,7.0,4,0
4.0,7,58.0,267.0,-17.0,4,1
4.0,6,30.0,162.0,-17.0,4,0
4.0,2,25.0,138.0,14.0,4,1
4.0,1,66.0,3522.0,0.0,1,0
4.0,8,58.0,3380.0,0.0,1,0
4.0,3,3.0,3001.0,0.0,1,0
4.0,16,52.0,2645.0,-3.0,2,0
4.0,10,10.0,2282.0,3.0,2,0
4.0,10,63.0,1743.0,1.0,3,0
4.0,5,5.0,1292.0,-1.0,3,0
4.0,12,96.0,675.0,2.0,4,0
4.0,7,46.0,565.0,-2.0,4,0
4.0,1,20.0,227.0,2.0,4,1
4.0,1,2.0,120.0,2.0,4,1
4.0,10,96.0,100.0,-2.0,4,1
4.0,15,75.0,3423.0,0.0,1,0
4.0,2,72.0,2695.0,-7.0,2,0
4.0,14,70.0,2233.0,0.0,2,0
4.0,8,20.0,1938.0,0.0,2,0
4.0,6,72.0,1744.0,0.0,3,0
4.0,1,63.0,1612.0,0.0,3,0
4.0,5,75.0,1442.0,-7.0,3,0
4.0,11,85.0,1342.0,7.0,3,0
4.0,2,37.0,1152.0,-7.0,3,1
4.0,1,57.0,904.0,0.0,3,0
4.0,4,70.0,851.0,0.0,4,0
4.0,6,33.0,629.0,0.0,4,1
4.0,1,58.0,532.0,0.0,4,0
4.0,2,72.0,443.0,0.0,4,0
4.0,1,15.0,316.0,0.0,4,1
4.0,2,5.0,178.0,0.0,4,0
4.0,4,74.0,3186.0,0.0,1,0
4.0,16,81.0,3022.0,0.0,1,0
4.0,5,5.0,2819.0,0.0,1,0
4.0,5,55.0,2765.0,-3.0,1,0
4.0,5,5.0,1962.0,-3.0,2,0
4.0,2,62.0,1917.0,0.0,2,0
4.0,5,92.0,1891.0,0.0,2,0
4.0,6,90.0,1543.0,-18.0,3,0
4.0,7,7.0,1154.0,18.0,3,0
4.0,3,3.0,934.0,-21.0,3,1
4.0,6,69.0,835.0,14.0,4,0
4.0,9,74.0,776.0,-14.0,4,0
4.0,5,5.0,317.0,-21.0,4,1
4.0,14,99.0,221.0,21.0,4,1
4.0,7,36.0,3414.0,0.0,1,0
4.0,24,94.0,3289.0,0.0,1,0
4.0,5,44.0,3235.0,0.0,1,0
4.0,20,27.0,3113.0,0.0,1,0
4.0,3,55.0,3021.0,-3.0,1,0
4.0,4,78.0,2713.0,-3.0,1,0
4.0,5,7.0,2494.0,3.0,2,0
4.0,10,15.0,2164.0,-6.0,2,0
4.0,3,11.0,1821.0,3.0,2,0
4.0,10,75.0,1651.0,-1.0,3,0
4.0,6,6.0,1406.0,1.0,3,0
4.0,34,60.0,1089.0,-4.0,3,0
4.0,8,22.0,594.0,4.0,4,0
4.0,7,68.0,413.0,-7.0,4,0
4.0,3,48.0,310.0,7.0,4,0
4.0,11,66.0,229.0,-7.0,4,0
4.0,12,60.0,120.0,7.0,4,0
4.0,10,72.0,66.0,-7.0,4,1
4.0,6,76.0,3560.0,0.0,1,0
4.0,7,65.0,3459.0,0.0,1,0
4.0,9,75.0,3399.0,0.0,1,0
4.0,2,39.0,3081.0,0.0,1,1
4.0,1,5.0,2823.0,0.0,1,0
4.0,17,47.0,2749.0,-3.0,1,0
4.0,5,62.0,2506.0,3.0,2,0
4.0,14,31.0,2131.0,-3.0,2,0
4.0,3,61.0,2011.0,0.0,2,0
4.0,5,75.0,1959.0,0.0,2,0
4.0,1,27.0,1844.0,0.0,2,1
4.0,9,36.0,1418.0,0.0,3,0
4.0,13,55.0,1252.0,-3.0,3,0
4.0,7,77.0,1161.0,3.0,3,0
4.0,4,88.0,767.0,3.0,4,0
4.0,7,41.0,572.0,-3.0,4,0
4.0,3,65.0,433.0,3.0,4,0
4.0,4,74.0,36.0,-3.0,4,1
4.0,3,12.0,2985.0,-7.0,1,0
4.0,4,27.0,2703.0,4.0,1,0
4.0,13,83.0,2597.0,-7.0,2,0
4.0,3,61.0,2314.0,-13.0,2,0
4.0,1,44.0,2109.0,13.0,2,1
4.0,2,78.0,1834.0,-20.0,2,0
4.0,7,58.0,1714.0,-20.0,3,0
4.0,11,30.0,1515.0,20.0,3,0
4.0,12,53.0,748.0,20.0,4,0
4.0,10,19.0,439.0,-20.0,4,1
4.0,10,80.0,378.0,13.0,4,0
4.0,13,31.0,269.0,-13.0,4,1
4.0,6,48.0,179.0,13.0,4,0
4.0,9,58.0,3483.0,0.0,1,0
4.0,7,87.0,2502.0,7.0,2,0
4.0,25,85.0,2322.0,0.0,2,0
4.0,13,37.0,1803.0,-1.0,2,0
4.0,2,52.0,1614.0,1.0,3,0
4.0,16,37.0,717.0,-8.0,4,0
4.0,1,82.0,581.0,8.0,4,0
4.0,15,72.0,488.0,-8.0,4,0
4.0,1,35.0,249.0,8.0,4,0
4.0,12,87.0,172.0,-8.0,4,0
4.0,4,23.0,120.0,8.0,4,0
4.0,14,82.0,3539.0,0.0,1,0
4.0,16,19.0,3043.0,0.0,1,0
4.0,5,52.0,2880.0,-3.0,1,0
4.0,6,75.0,2806.0,-10.0,1,0
4.0,9,81.0,2700.0,10.0,2,0
4.0,2,18.0,2408.0,-10.0,2,0
4.0,8,45.0,2189.0,7.0,2,0
4.0,7,93.0,2117.0,-7.0,2,0
4.0,7,25.0,1989.0,7.0,2,0
4.0,6,76.0,1702.0,-10.0,3,0
4.0,2,66.0,1610.0,10.0,3,0
4.0,22,56.0,1368.0,-10.0,3,0
4.0,22,83.0,1062.0,10.0,3,0
4.0,10,21.0,418.0,10.0,4,0
4.0,3,81.0,354.0,-13.0,4,0
4.0,5,69.0,324.0,13.0,4,0
4.0,13,62.0,217.0,-13.0,4,1
4.0,15,18.0,137.0,-13.0,4,1
4.0,2,74.0,31.0,13.0,4,0
4.0,12,72.0,3514.0,0.0,1,0
4.0,10,13.0,2713.0,13.0,1,0
4.0,1,64.0,2475.0,9.0,2,1
4.0,8,25.0,2395.0,9.0,2,0
4.0,15,49.0,2235.0,-12.0,2,0
4.0,8,82.0,2155.0,12.0,2,0
4.0,6,46.0,2010.0,-12.0,2,0
4.0,4,69.0,1499.0,-5.0,3,0
4.0,20,74.0,1340.0,5.0,3,0
4.0,1,43.0,1201.0,-5.0,3,1
4.0,18,77.0,1027.0,-5.0,3,0
4.0,7,9.0,687.0,5.0,4,0
4.0,3,73.0,635.0,-8.0,4,0
4.0,10,43.0,411.0,-15.0,4,1
4.0,6,6.0,332.0,-15.0,4,1
4.0,1,2.0,120.0,9.0,4,0
4.0,6,53.0,66.0,-12.0,4,1
4.0,12,82.0,3470.0,0.0,1,0
4.0,3,45.0,3410.0,0.0,1,0
4.0,11,11.0,2746.0,0.0,1,0
4.0,13,55.0,2291.0,-4.0,2,0
4.0,4,80.0,2203.0,4.0,2,0
4.0,4,4.0,1982.0,-4.0,2,0
4.0,2,34.0,1838.0,-8.0,2,1
4.0,8,42.0,1642.0,5.0,3,0
4.0,7,7.0,434.0,-5.0,4,0
4.0,6,48.0,294.0,2.0,4,0
4.0,12,15.0,177.0,2.0,4,0
4.0,2,15.0,37.0,-5.0,4,1
4.0,4,4.0,3445.0,0.0,1,0
4.0,8,57.0,3320.0,-3.0,1,0
4.0,5,29.0,2813.0,-4.0,1,0
4.0,5,5.0,2505.0,1.0,2,0
