down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,posteam,play_type,wp,epa,go_for_it
4.0,5,66.0,2500.0,-10.0,2,KC,punt,0.1597001907529878,1.4222244556519108,0
4.0,3,84.0,2409.0,10.0,2,BAL,punt,0.7369250943238813,-5.0969305611044,0
4.0,4,23.0,2034.0,4.0,2,BAL,field_goal,0.6878914863697828,-3.3414638595649007,0
4.0,9,48.0,1801.0,-4.0,2,KC,pass,0.3863233143598785,-0.928085016959026,1
4.0,6,76.0,989.0,-4.0,3,KC,punt,0.2609712075125693,-0.9041262830994744,0
4.0,10,41.0,896.0,4.0,4,BAL,punt,0.6571883758069926,-0.5436427644006379,0
4.0,11,35.0,722.0,-4.0,4,KC,field_goal,0.3577806233116354,2.103044037873897,0
4.0,18,87.0,99.0,-8.0,4,KC,pass,0.0344442382419239,-3.785001242292601,1
4.0,1,1.0,36.0,8.0,4,BAL,run,0.9939589374540476,4.229280140467348,1
4.0,6,24.0,3271.0,0.0,1,ATL,field_goal,0.552494023632591,-3.669104096532504,0
4.0,18,45.0,3121.0,0.0,1,ATL,punt,0.5056609865350052,-0.0664099412719925,0
4.0,11,54.0,2776.0,0.0,1,MIA,punt,0.4652453257150118,0.6578366691712769,0
4.0,6,62.0,2131.0,-7.0,2,MIA,punt,0.2488928534285645,-0.2384035830178819,0
4.0,1,67.0,2047.0,7.0,2,ATL,punt,0.7199460023828642,-1.1729054856913457,0
4.0,8,18.0,1836.0,7.0,2,ATL,field_goal,0.8116135883330953,0.4049730090446131,0
4.0,5,79.0,1709.0,-10.0,3,MIA,punt,0.1301122986925563,1.1811456917787448,0
4.0,1,62.0,1620.0,10.0,3,ATL,punt,0.8040979292106284,-0.4755034945817873,0
4.0,15,79.0,1507.0,-10.0,3,MIA,punt,0.12074039889746,-0.4347360103039239,0
4.0,6,44.0,1375.0,10.0,3,ATL,punt,0.8326445665660284,-1.0750974982064094,0
4.0,15,20.0,745.0,16.0,4,ATL,field_goal,0.9582223630453608,-3.6936194967714617,0
4.0,5,67.0,701.0,-16.0,4,MIA,punt,0.0470791785349205,-0.4151989809058072,0
4.0,5,31.0,458.0,16.0,4,ATL,field_goal,0.9659055298674168,1.4741233554879294,0
4.0,4,15.0,250.0,-19.0,4,MIA,pass,0.0179164430580701,2.613455835817516,1
4.0,4,65.0,3467.0,0.0,1,ARI,punt,0.4454654361146831,0.3438311593679828,0
4.0,2,66.0,3337.0,0.0,1,SF,punt,0.4562936043860602,-0.1967987392639119,0
4.0,6,19.0,3034.0,0.0,1,SF,field_goal,0.569474263538631,0.515154731710779,0
4.0,4,86.0,2936.0,-3.0,1,ARI,punt,0.3118208304905294,-0.0781082310479366,0
4.0,18,32.0,2788.0,3.0,1,SF,field_goal,0.6148664334863339,1.674183235834361,0
4.0,8,26.0,2648.0,-6.0,2,ARI,field_goal,0.3291069224774472,1.0625675634453948,0
4.0,2,51.0,2431.0,3.0,2,SF,punt,0.5999592944122334,-0.2410797765477315,0
4.0,7,86.0,2311.0,-3.0,2,ARI,punt,0.2959101389696075,0.9803201712536675,0
4.0,1,64.0,2228.0,3.0,2,SF,punt,0.6101891367690051,-0.5590186417964715,0
4.0,7,74.0,2136.0,-3.0,2,ARI,punt,0.3313895889929062,-0.1236702714651007,0
4.0,6,76.0,1719.0,7.0,3,SF,punt,0.647829964710818,0.5961414334305803,0
4.0,10,55.0,1538.0,-7.0,3,ARI,punt,0.2313606681385926,0.1971643696320248,0
4.0,5,75.0,1408.0,7.0,3,SF,punt,0.6541510928424668,0.5622517887472118,0
4.0,15,87.0,1106.0,0.0,3,SF,punt,0.3704974513486798,0.7573675904670201,0
4.0,9,25.0,897.0,0.0,4,ARI,field_goal,0.5538314611486791,0.9884944284731496,0
4.0,5,66.0,342.0,-4.0,4,ARI,punt,0.2690158855763521,1.2895647273114774,0
4.0,11,99.0,206.0,4.0,4,SF,punt,0.647188709193814,-1.1232292105726227,0
4.0,5,33.0,115.0,-4.0,4,ARI,pass,0.3324713302478087,-2.7208966706443354,1
4.0,4,61.0,56.0,4.0,4,SF,punt,0.9295516673661594,-0.6826830924070706,0
4.0,9,79.0,3476.0,0.0,1,STL,punt,0.405346897347372,1.2606883597410008,0
4.0,3,63.0,3403.0,0.0,1,SEA,punt,0.4565074020257081,-0.5241867358333563,0
4.0,12,59.0,3199.0,0.0,1,STL,punt,0.4627342046326196,-0.1311879966756288,0
4.0,7,35.0,3104.0,0.0,1,STL,punt,0.4454198063808924,0.0,0
4.0,11,19.0,2525.0,0.0,2,STL,field_goal,0.531292538572996,-3.6845150906770217,0
4.0,22,86.0,2062.0,-7.0,2,STL,punt,0.2017791357090463,0.5852806596236648,0
4.0,1,53.0,1642.0,14.0,3,SEA,punt,0.893240576338241,-0.6246577966842928,0
4.0,10,60.0,1451.0,-14.0,3,STL,punt,0.088631814376492,2.4689474336031703,0
4.0,9,79.0,1144.0,-21.0,3,STL,punt,0.0122748522871925,0.2604804070117703,0
4.0,6,60.0,907.0,-28.0,3,STL,punt,0.0009661154869461426,0.1679294121307566,0
4.0,8,44.0,571.0,28.0,4,SEA,punt,0.999564969335546,-1.2502540721804376,0
4.0,15,85.0,486.0,-28.0,4,STL,punt,0.000210111384053945,1.3216713152793145,0
4.0,3,56.0,271.0,28.0,4,SEA,punt,0.9997766049688992,-0.0007299257957866789,0
4.0,7,7.0,130.0,-28.0,4,STL,pass,0.0004241960487112202,-2.5557328484746606,1
4.0,2,84.0,99.0,28.0,4,SEA,punt,0.9999451284337108,-0.3449883725221524,0
4.0,1,11.0,3165.0,0.0,1,NYG,field_goal,0.5640387359265059,0.1482308404667032,0
4.0,11,38.0,3004.0,-3.0,1,WAS,punt,0.4516587176268423,-1.6275114869234089,0
4.0,1,3.0,2700.0,3.0,2,NYG,run,0.6684864777022452,-1.9714151251303804,1
4.0,7,94.0,2609.0,-3.0,2,WAS,punt,0.2817025546118381,-0.4967121586968215,0
4.0,8,8.0,1833.0,-16.0,2,WAS,run,0.1212696236293192,4.448611351483459,1
4.0,2,43.0,1502.0,-9.0,3,WAS,punt,0.2165632795403995,-0.154218662749796,0
4.0,6,77.0,1363.0,9.0,3,NYG,punt,0.7208226842597614,1.7783933920572523,0
4.0,10,69.0,1135.0,-9.0,3,WAS,punt,0.1469781553011301,2.1842285708559324,0
